ID_ISSUE;ID_USUARIO_COMENTARIO;DATA_REGISTRO
482038367;5384588;18/08/2019
482038367;5384588;18/08/2019
479808662;1329895;13/08/2019
479808662;40416339;04/09/2019
479808662;8042297;12/10/2019
479808662;12311971;05/06/2020
479808662;4933011;10/06/2020
479808662;662832;12/06/2020
479808662;1397213;23/07/2020
479808662;4389906;05/08/2020
479808662;1758366;05/08/2020
479808662;4389906;05/08/2020
479808662;10137;23/08/2020
479808662;32521698;28/10/2020
479808662;447754;04/10/2021
479808662;15655;04/10/2021
479808662;32521698;04/10/2021
479808662;447754;04/10/2021
479808662;15655;04/10/2021
479808662;32521698;04/10/2021
479808662;447754;04/10/2021
479808662;17404800;04/10/2021
479808662;32521698;04/10/2021
479808662;559434;14/12/2021
477927465;43971542;20/01/2020
477927465;8604205;20/01/2020
474587709;5384588;30/07/2019
474587709;5384588;30/07/2019
474587709;272164;30/07/2019
474587709;5384588;30/07/2019
474587709;5384588;30/07/2019
474587709;1153097;06/08/2019
474587709;1153097;19/08/2019
473338576;8604205;26/07/2019
472234068;5384588;24/07/2019
472234068;5384588;24/07/2019
469600577;8604205;18/07/2019
469185930;8604205;17/07/2019
467907680;5384588;15/07/2019
467907680;5384588;15/07/2019
466855508;8604205;11/07/2019
466766571;8604205;11/07/2019
466766571;52198357;12/07/2021
459149896;8604205;21/06/2019
458963691;15655;21/06/2019
458963691;37738112;21/06/2019
452900233;15655;06/06/2019
452900233;14157728;06/06/2019
452900233;15655;06/06/2019
450021456;5384588;29/05/2019
450021456;5384588;29/05/2019
448820927;46098781;27/05/2019
448820927;46098781;28/05/2019
448820927;46098781;04/06/2019
448820927;1758366;05/06/2019
448282271;5384588;24/05/2019
448282271;5384588;24/05/2019
448282271;10134042;24/05/2019
448282271;5384588;24/05/2019
448282271;5384588;24/05/2019
446715013;5384588;21/05/2019
446715013;5384588;21/05/2019
446715013;8604205;21/05/2019
445729405;1153097;19/05/2019
445729405;9194732;13/06/2019
444137696;5384588;14/05/2019
444137696;5384588;14/05/2019
444137696;15655;23/05/2020
