;USUARIO;COMENTARIOS;ISSUES;COMMITS;DESEMPENHO;QUARTIL COMENTARIO;QUARTIL ISSUE;QUARTIL COMMITS
2308;411874;0.0006325110689437065;0.020202020202020204;0.003477051460361613;0.020508817063720947;4;4;4
6010;1684393;0.0018975332068311196;0.020202020202020204;0.0027816411682892906;0.020480717275109802;4;4;4
2207;382011;0.002530044275774826;0.020202020202020204;0.002086230876216968;0.020466438467625345;4;4;4
6403;1871136;0.0031625553447185324;0.020202020202020204;0.0;0.020448065349837872;4;4;1
3593;762471;0.0023719165085388993;0.020202020202020204;0.002086230876216968;0.020447492937648682;4;4;4
5534;1470998;0.003004427577482606;0.020202020202020204;0.0006954102920723226;0.020436041710309032;4;4;4
8973;5069856;0.002213788741302973;0.020202020202020204;0.0013908205841446453;0.020370489997327816;4;4;4
1505;217034;0.002530044275774826;0.020202020202020204;0.0;0.020359831636833674;4;4;1
7559;2993947;0.0023719165085388993;0.020202020202020204;0.0006954102920723226;0.020352670675875238;4;4;4
2864;551022;0.0023719165085388993;0.020202020202020204;0.0;0.020340786812862274;4;4;1
3073;608603;0.0018975332068311196;0.020202020202020204;0.0013908205841446453;0.02033855045009697;4;4;4
2448;444823;0.002213788741302973;0.020202020202020204;0.0;0.02032295453013543;4;4;1
4568;1085899;0.002213788741302973;0.020202020202020204;0.0;0.02032295453013543;4;4;1
7312;2699538;0.0018975332068311196;0.020202020202020204;0.0;0.020290940158451485;4;4;1
746;93064;0.001739405439595193;0.020202020202020204;0.0;0.020276763832676202;4;4;1
838;106150;0.0007906388361796331;0.020202020202020204;0.0013908205841446453;0.02026526861182423;4;4;4
4991;1243901;0.0014231499051233396;0.020202020202020204;0.0006954102920723226;0.02026402159912008;4;4;4
1702;259753;0.00031625553447185326;0.020202020202020204;0.0013908205841446453;0.020252308996832852;3;4;4
1324;183786;0.0014231499051233396;0.020202020202020204;0.0;0.020252085717162197;4;4;1
1787;286010;0.00031625553447185326;0.020202020202020204;0.0;0.02020449548506264;3;4;1
13282;4334434;0.0;0.020202020202020204;0.0;0.020202020202020204;1;4;1
3331;682658;0.008697027197975965;0.01767676767676768;0.0;0.019700416177856558;4;4;1
9516;5890155;0.006483238456672992;0.01767676767676768;0.0006954102920723226;0.018841021518453353;4;4;4
4265;973915;0.010594560404807085;0.015151515151515152;0.0027816411682892906;0.018696273670087873;4;4;4
570;63667;0.005850727387729285;0.01767676767676768;0.0;0.01861985839000781;4;4;1
8381;4082216;0.004901960784313725;0.01767676767676768;0.0013908205841446453;0.0183965137166434;4;4;4
2413;438259;0.0028462998102466793;0.01767676767676768;0.004172461752433936;0.018384204502337135;4;4;4
7550;2979933;0.004269449715370019;0.01767676767676768;0.0013908205841446453;0.01823816597873186;4;4;4
1178;156449;0.0039531941808981655;0.01767676767676768;0.0006954102920723226;0.0181267607477074;4;4;4
6652;2034481;0.0007906388361796331;0.01767676767676768;0.003477051460361613;0.01803283427877318;4;4;4
